Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;11 SECA DE SANT PERE;120;0;0;0;0;0
Totals;;;;;;1943;1987;3930;49,44;50,56
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;12 PARDINYES;0 - 4;323;274;597;54,1;45,9
25;LLEIDA;120;LLEIDA;12 PARDINYES;5 - 9;423;386;809;52,29;47,71
25;LLEIDA;120;LLEIDA;12 PARDINYES;10 - 14;461;409;870;52,99;47,01
25;LLEIDA;120;LLEIDA;12 PARDINYES;15 - 19;438;396;834;52,52;47,48
25;LLEIDA;120;LLEIDA;12 PARDINYES;20 - 24;347;311;658;52,74;47,26
25;LLEIDA;120;LLEIDA;12 PARDINYES;25 - 29;313;298;611;51,23;48,77
25;LLEIDA;120;LLEIDA;12 PARDINYES;30 - 34;367;352;719;51,04;48,96
25;LLEIDA;120;LLEIDA;12 PARDINYES;35 - 39;442;469;911;48,52;51,48
25;LLEIDA;120;LLEIDA;12 PARDINYES;40 - 44;603;608;1211;49,79;50,21
25;LLEIDA;120;LLEIDA;12 PARDINYES;45 - 49;645;656;1301;49,58;50,42
25;LLEIDA;120;LLEIDA;12 PARDINYES;50 - 54;605;575;1180;51,27;48,73
25;LLEIDA;120;LLEIDA;12 PARDINYES;55 - 59;465;466;931;49,95;50,05
25;LLEIDA;120;LLEIDA;12 PARDINYES;60 - 64;343;345;688;49,85;50,15
25;LLEIDA;120;LLEIDA;12 PARDINYES;65 - 69;248;259;507;48,92;51,08
25;LLEIDA;120;LLEIDA;12 PARDINYES;70 - 74;187;248;435;42,99;57,01
25;LLEIDA;120;LLEIDA;12 PARDINYES;75 - 79;87;142;229;37,99;62,01
25;LLEIDA;120;LLEIDA;12 PARDINYES;80 - 84;82;162;244;33,61;66,39
25;LLEIDA;120;LLEIDA;12 PARDINYES;85 - 89;64;115;179;35,75;64,25
25;LLEIDA;120;LLEIDA;12 PARDINYES;90 - 94;20;51;71;28,17;71,83
25;LLEIDA;120;LLEIDA;12 PARDINYES;95 - 99;8;10;18;44,44;55,56
25;LLEIDA;120;LLEIDA;12 PARDINYES;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;12 PARDINYES;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;12 PARDINYES;110 - 114;1;1;2;50;50
25;LLEIDA;120;LLEIDA;12 PARDINYES;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;12 PARDINYES;120;0;0;0;0;0
Totals;;;;;;6472;6533;13005;49,77;50,23
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;13 CAPPONT;0 - 4;311;343;654;47,55;52,45
25;LLEIDA;120;LLEIDA;13 CAPPONT;5 - 9;349;375;724;48,2;51,8
25;LLEIDA;120;LLEIDA;13 CAPPONT;10 - 14;312;295;607;51,4;48,6
25;LLEIDA;120;LLEIDA;13 CAPPONT;15 - 19;331;287;618;53,56;46,44
25;LLEIDA;120;LLEIDA;13 CAPPONT;20 - 24;337;300;637;52,9;47,1
25;LLEIDA;120;LLEIDA;13 CAPPONT;25 - 29;301;313;614;49,02;50,98
25;LLEIDA;120;LLEIDA;13 CAPPONT;30 - 34;396;383;779;50,83;49,17
25;LLEIDA;120;LLEIDA;13 CAPPONT;35 - 39;518;521;1039;49,86;50,14
25;LLEIDA;120;LLEIDA;13 CAPPONT;40 - 44;611;576;1187;51,47;48,53
25;LLEIDA;120;LLEIDA;13 CAPPONT;45 - 49;523;506;1029;50,83;49,17
25;LLEIDA;120;LLEIDA;13 CAPPONT;50 - 54;467;498;965;48,39;51,61
25;LLEIDA;120;LLEIDA;13 CAPPONT;55 - 59;400;438;838;47,73;52,27
25;LLEIDA;120;LLEIDA;13 CAPPONT;60 - 64;341;347;688;49,56;50,44
25;LLEIDA;120;LLEIDA;13 CAPPONT;65 - 69;270;333;603;44,78;55,22
25;LLEIDA;120;LLEIDA;13 CAPPONT;70 - 74;212;258;470;45,11;54,89
25;LLEIDA;120;LLEIDA;13 CAPPONT;75 - 79;138;209;347;39,77;60,23
25;LLEIDA;120;LLEIDA;13 CAPPONT;80 - 84;120;211;331;36,25;63,75
25;LLEIDA;120;LLEIDA;13 CAPPONT;85 - 89;91;144;235;38,72;61,28
25;LLEIDA;120;LLEIDA;13 CAPPONT;90 - 94;29;64;93;31,18;68,82
25;LLEIDA;120;LLEIDA;13 CAPPONT;95 - 99;4;11;15;26,67;73,33
25;LLEIDA;120;LLEIDA;13 CAPPONT;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;13 CAPPONT;105 - 109;1;0;1;100;0
25;LLEIDA;120;LLEIDA;13 CAPPONT;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;13 CAPPONT;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;13 CAPPONT;120;0;0;0;0;0
Totals;;;;;;6062;6412;12474;48,6;51,4
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;14 LA BORDETA;0 - 4;386;319;705;54,75;45,25
25;LLEIDA;120;LLEIDA;14 LA BORDETA;5 - 9;483;405;888;54,39;45,61
25;LLEIDA;120;LLEIDA;14 LA BORDETA;10 - 14;476;416;892;53,36;46,64
25;LLEIDA;120;LLEIDA;14 LA BORDETA;15 - 19;408;373;781;52,24;47,76
25;LLEIDA;120;LLEIDA;14 LA BORDETA;20 - 24;361;347;708;50,99;49,01
25;LLEIDA;120;LLEIDA;14 LA BORDETA;25 - 29;358;341;699;51,22;48,78
25;LLEIDA;120;LLEIDA;14 LA BORDETA;30 - 34;391;393;784;49,87;50,13
25;LLEIDA;120;LLEIDA;14 LA BORDETA;35 - 39;533;550;1083;49,22;50,78
25;LLEIDA;120;LLEIDA;14 LA BORDETA;40 - 44;657;663;1320;49,77;50,23
25;LLEIDA;120;LLEIDA;14 LA BORDETA;45 - 49;634;595;1229;51,59;48,41
25;LLEIDA;120;LLEIDA;14 LA BORDETA;50 - 54;574;525;1099;52,23;47,77
25;LLEIDA;120;LLEIDA;14 LA BORDETA;55 - 59;478;443;921;51,9;48,1
25;LLEIDA;120;LLEIDA;14 LA BORDETA;60 - 64;343;363;706;48,58;51,42
25;LLEIDA;120;LLEIDA;14 LA BORDETA;65 - 69;265;312;577;45,93;54,07
25;LLEIDA;120;LLEIDA;14 LA BORDETA;70 - 74;245;217;462;53,03;46,97
25;LLEIDA;120;LLEIDA;14 LA BORDETA;75 - 79;130;180;310;41,94;58,06
25;LLEIDA;120;LLEIDA;14 LA BORDETA;80 - 84;94;159;253;37,15;62,85
25;LLEIDA;120;LLEIDA;14 LA BORDETA;85 - 89;72;113;185;38,92;61,08
25;LLEIDA;120;LLEIDA;14 LA BORDETA;90 - 94;22;63;85;25,88;74,12
25;LLEIDA;120;LLEIDA;14 LA BORDETA;95 - 99;2;10;12;16,67;83,33
25;LLEIDA;120;LLEIDA;14 LA BORDETA;100 - 104;0;1;1;0;100
25;LLEIDA;120;LLEIDA;14 LA BORDETA;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;14 LA BORDETA;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;14 LA BORDETA;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;14 LA BORDETA;120;0;0;0;0;0
Totals;;;;;;6912;6788;13700;50,45;49,55
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;15 MAGRANERS;0 - 4;79;76;155;50,97;49,03
25;LLEIDA;120;LLEIDA;15 MAGRANERS;5 - 9;77;60;137;56,2;43,8
25;LLEIDA;120;LLEIDA;15 MAGRANERS;10 - 14;88;67;155;56,77;43,23
25;LLEIDA;120;LLEIDA;15 MAGRANERS;15 - 19;88;69;157;56,05;43,95
25;LLEIDA;120;LLEIDA;15 MAGRANERS;20 - 24;90;77;167;53,89;46,11
25;LLEIDA;120;LLEIDA;15 MAGRANERS;25 - 29;121;114;235;51,49;48,51
25;LLEIDA;120;LLEIDA;15 MAGRANERS;30 - 34;109;97;206;52,91;47,09
25;LLEIDA;120;LLEIDA;15 MAGRANERS;35 - 39;128;103;231;55,41;44,59
25;LLEIDA;120;LLEIDA;15 MAGRANERS;40 - 44;114;99;213;53,52;46,48
25;LLEIDA;120;LLEIDA;15 MAGRANERS;45 - 49;96;100;196;48,98;51,02
25;LLEIDA;120;LLEIDA;15 MAGRANERS;50 - 54;106;112;218;48,62;51,38
25;LLEIDA;120;LLEIDA;15 MAGRANERS;55 - 59;99;80;179;55,31;44,69
25;LLEIDA;120;LLEIDA;15 MAGRANERS;60 - 64;75;83;158;47,47;52,53
25;LLEIDA;120;LLEIDA;15 MAGRANERS;65 - 69;53;49;102;51,96;48,04
25;LLEIDA;120;LLEIDA;15 MAGRANERS;70 - 74;53;53;106;50;50
25;LLEIDA;120;LLEIDA;15 MAGRANERS;75 - 79;36;38;74;48,65;51,35
25;LLEIDA;120;LLEIDA;15 MAGRANERS;80 - 84;28;36;64;43,75;56,25
25;LLEIDA;120;LLEIDA;15 MAGRANERS;85 - 89;12;31;43;27,91;72,09
25;LLEIDA;120;LLEIDA;15 MAGRANERS;90 - 94;6;11;17;35,29;64,71
25;LLEIDA;120;LLEIDA;15 MAGRANERS;95 - 99;0;2;2;0;100
25;LLEIDA;120;LLEIDA;15 MAGRANERS;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;15 MAGRANERS;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;15 MAGRANERS;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;15 MAGRANERS;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;15 MAGRANERS;120;0;0;0;0;0
Totals;;;;;;1458;1357;2815;51,79;48,21
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;0 - 4;135;127;262;51,53;48,47
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;5 - 9;132;126;258;51,16;48,84
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;10 - 14;102;106;208;49,04;50,96
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;15 - 19;56;61;117;47,86;52,14
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;20 - 24;59;55;114;51,75;48,25
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;25 - 29;63;91;154;40,91;59,09
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;30 - 34;118;133;251;47,01;52,99
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;35 - 39;193;176;369;52,3;47,7
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;40 - 44;193;210;403;47,89;52,11
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;45 - 49;144;135;279;51,61;48,39
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;50 - 54;125;106;231;54,11;45,89
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;55 - 59;95;86;181;52,49;47,51
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;60 - 64;81;78;159;50,94;49,06
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;65 - 69;52;62;114;45,61;54,39
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;70 - 74;31;44;75;41,33;58,67
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;75 - 79;22;28;50;44;56
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;80 - 84;11;18;29;37,93;62,07
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;85 - 89;11;14;25;44;56
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;90 - 94;4;3;7;57,14;42,86
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;95 - 99;0;2;2;0;100
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;120;0;0;0;0;0
Totals;;;;;;1627;1661;3288;49,48;50,52
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;17 BUTSENIT;0 - 4;9;10;19;47,37;52,63
25;LLEIDA;120;LLEIDA;17 BUTSENIT;5 - 9;17;17;34;50;50
25;LLEIDA;120;LLEIDA;17 BUTSENIT;10 - 14;17;21;38;44,74;55,26
25;LLEIDA;120;LLEIDA;17 BUTSENIT;15 - 19;40;18;58;68,97;31,03
25;LLEIDA;120;LLEIDA;17 BUTSENIT;20 - 24;26;26;52;50;50
25;LLEIDA;120;LLEIDA;17 BUTSENIT;25 - 29;26;35;61;42,62;57,38
25;LLEIDA;120;LLEIDA;17 BUTSENIT;30 - 34;26;27;53;49,06;50,94
25;LLEIDA;120;LLEIDA;17 BUTSENIT;35 - 39;45;27;72;62,5;37,5
25;LLEIDA;120;LLEIDA;17 BUTSENIT;40 - 44;45;44;89;50,56;49,44
25;LLEIDA;120;LLEIDA;17 BUTSENIT;45 - 49;50;39;89;56,18;43,82
25;LLEIDA;120;LLEIDA;17 BUTSENIT;50 - 54;55;47;102;53,92;46,08
25;LLEIDA;120;LLEIDA;17 BUTSENIT;55 - 59;61;57;118;51,69;48,31
25;LLEIDA;120;LLEIDA;17 BUTSENIT;60 - 64;41;36;77;53,25;46,75
25;LLEIDA;120;LLEIDA;17 BUTSENIT;65 - 69;45;54;99;45,45;54,55
25;LLEIDA;120;LLEIDA;17 BUTSENIT;70 - 74;41;51;92;44,57;55,43
25;LLEIDA;120;LLEIDA;17 BUTSENIT;75 - 79;37;48;85;43,53;56,47
25;LLEIDA;120;LLEIDA;17 BUTSENIT;80 - 84;27;46;73;36,99;63,01
25;LLEIDA;120;LLEIDA;17 BUTSENIT;85 - 89;22;24;46;47,83;52,17
25;LLEIDA;120;LLEIDA;17 BUTSENIT;90 - 94;5;14;19;26,32;73,68
25;LLEIDA;120;LLEIDA;17 BUTSENIT;95 - 99;5;0;5;100;0
25;LLEIDA;120;LLEIDA;17 BUTSENIT;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;17 BUTSENIT;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;17 BUTSENIT;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;17 BUTSENIT;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;17 BUTSENIT;120;0;0;0;0;0
Totals;;;;;;640;641;1281;49,96;50,04
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;0 - 4;59;69;128;46,09;53,91
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;5 - 9;90;81;171;52,63;47,37
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;10 - 14;107;110;217;49,31;50,69
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;15 - 19;80;101;181;44,2;55,8
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;20 - 24;106;84;190;55,79;44,21
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;25 - 29;90;70;160;56,25;43,75
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;30 - 34;79;79;158;50;50
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;35 - 39;74;89;163;45,4;54,6
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;40 - 44;100;102;202;49,5;50,5
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;45 - 49;118;129;247;47,77;52,23
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;50 - 54;118;112;230;51,3;48,7
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;55 - 59;123;146;269;45,72;54,28
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;60 - 64;112;120;232;48,28;51,72
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;65 - 69;97;89;186;52,15;47,85
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;70 - 74;59;66;125;47,2;52,8
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;75 - 79;46;35;81;56,79;43,21
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;80 - 84;28;29;57;49,12;50,88
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;85 - 89;19;35;54;35,19;64,81
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;90 - 94;6;13;19;31,58;68,42
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;95 - 99;2;2;4;50;50
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;100 - 104;1;2;3;33,33;66,67
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;120;0;0;0;0;0
Totals;;;;;;1514;1563;3077;49,2;50,8
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;0 - 4;24;21;45;53,33;46,67
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;5 - 9;37;34;71;52,11;47,89
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;10 - 14;47;44;91;51,65;48,35
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;15 - 19;77;62;139;55,4;44,6
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;20 - 24;59;51;110;53,64;46,36
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;25 - 29;39;43;82;47,56;52,44
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;30 - 34;30;29;59;50,85;49,15
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;35 - 39;42;40;82;51,22;48,78
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;40 - 44;58;45;103;56,31;43,69
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;45 - 49;66;71;137;48,18;51,82
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;50 - 54;86;70;156;55,13;44,87
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;55 - 59;86;80;166;51,81;48,19
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;60 - 64;77;71;148;52,03;47,97
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;65 - 69;67;68;135;49,63;50,37
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;70 - 74;62;46;108;57,41;42,59
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;75 - 79;24;38;62;38,71;61,29
