Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;12 PARDINYES;20 - 24;375;307;682;54,99;45,01
25;LLEIDA;120;LLEIDA;12 PARDINYES;25 - 29;325;323;648;50,15;49,85
25;LLEIDA;120;LLEIDA;12 PARDINYES;30 - 34;356;358;714;49,86;50,14
25;LLEIDA;120;LLEIDA;12 PARDINYES;35 - 39;415;427;842;49,29;50,71
25;LLEIDA;120;LLEIDA;12 PARDINYES;40 - 44;591;616;1207;48,96;51,04
25;LLEIDA;120;LLEIDA;12 PARDINYES;45 - 49;626;670;1296;48,3;51,7
25;LLEIDA;120;LLEIDA;12 PARDINYES;50 - 54;610;564;1174;51,96;48,04
25;LLEIDA;120;LLEIDA;12 PARDINYES;55 - 59;479;499;978;48,98;51,02
25;LLEIDA;120;LLEIDA;12 PARDINYES;60 - 64;373;366;739;50,47;49,53
25;LLEIDA;120;LLEIDA;12 PARDINYES;65 - 69;264;270;534;49,44;50,56
25;LLEIDA;120;LLEIDA;12 PARDINYES;70 - 74;204;249;453;45,03;54,97
25;LLEIDA;120;LLEIDA;12 PARDINYES;75 - 79;94;170;264;35,61;64,39
25;LLEIDA;120;LLEIDA;12 PARDINYES;80 - 84;72;137;209;34,45;65,55
25;LLEIDA;120;LLEIDA;12 PARDINYES;85 - 89;62;140;202;30,69;69,31
25;LLEIDA;120;LLEIDA;12 PARDINYES;90 - 94;27;52;79;34,18;65,82
25;LLEIDA;120;LLEIDA;12 PARDINYES;95 - 99;7;11;18;38,89;61,11
25;LLEIDA;120;LLEIDA;12 PARDINYES;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;12 PARDINYES;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;12 PARDINYES;110 - 114;1;1;2;50;50
25;LLEIDA;120;LLEIDA;12 PARDINYES;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;12 PARDINYES;120;0;0;0;0;0
Totals;;;;;;6505;6634;13139;49,51;50,49
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;13 CAPPONT;0 - 4;294;330;624;47,12;52,88
25;LLEIDA;120;LLEIDA;13 CAPPONT;5 - 9;339;356;695;48,78;51,22
25;LLEIDA;120;LLEIDA;13 CAPPONT;10 - 14;346;318;664;52,11;47,89
25;LLEIDA;120;LLEIDA;13 CAPPONT;15 - 19;324;285;609;53,2;46,8
25;LLEIDA;120;LLEIDA;13 CAPPONT;20 - 24;349;306;655;53,28;46,72
25;LLEIDA;120;LLEIDA;13 CAPPONT;25 - 29;309;309;618;50;50
25;LLEIDA;120;LLEIDA;13 CAPPONT;30 - 34;367;375;742;49,46;50,54
25;LLEIDA;120;LLEIDA;13 CAPPONT;35 - 39;507;485;992;51,11;48,89
25;LLEIDA;120;LLEIDA;13 CAPPONT;40 - 44;631;579;1210;52,15;47,85
25;LLEIDA;120;LLEIDA;13 CAPPONT;45 - 49;529;530;1059;49,95;50,05
25;LLEIDA;120;LLEIDA;13 CAPPONT;50 - 54;452;495;947;47,73;52,27
25;LLEIDA;120;LLEIDA;13 CAPPONT;55 - 59;435;442;877;49,6;50,4
25;LLEIDA;120;LLEIDA;13 CAPPONT;60 - 64;350;386;736;47,55;52,45
25;LLEIDA;120;LLEIDA;13 CAPPONT;65 - 69;276;324;600;46;54
25;LLEIDA;120;LLEIDA;13 CAPPONT;70 - 74;222;286;508;43,7;56,3
25;LLEIDA;120;LLEIDA;13 CAPPONT;75 - 79;151;228;379;39,84;60,16
25;LLEIDA;120;LLEIDA;13 CAPPONT;80 - 84;109;176;285;38,25;61,75
25;LLEIDA;120;LLEIDA;13 CAPPONT;85 - 89;101;153;254;39,76;60,24
25;LLEIDA;120;LLEIDA;13 CAPPONT;90 - 94;31;67;98;31,63;68,37
25;LLEIDA;120;LLEIDA;13 CAPPONT;95 - 99;3;15;18;16,67;83,33
25;LLEIDA;120;LLEIDA;13 CAPPONT;100 - 104;1;0;1;100;0
25;LLEIDA;120;LLEIDA;13 CAPPONT;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;13 CAPPONT;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;13 CAPPONT;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;13 CAPPONT;120;0;0;0;0;0
Totals;;;;;;6126;6445;12571;48,73;51,27
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;14 LA BORDETA;0 - 4;371;322;693;53,54;46,46
25;LLEIDA;120;LLEIDA;14 LA BORDETA;5 - 9;476;399;875;54,4;45,6
25;LLEIDA;120;LLEIDA;14 LA BORDETA;10 - 14;490;412;902;54,32;45,68
25;LLEIDA;120;LLEIDA;14 LA BORDETA;15 - 19;415;394;809;51,3;48,7
25;LLEIDA;120;LLEIDA;14 LA BORDETA;20 - 24;398;355;753;52,86;47,14
25;LLEIDA;120;LLEIDA;14 LA BORDETA;25 - 29;380;336;716;53,07;46,93
25;LLEIDA;120;LLEIDA;14 LA BORDETA;30 - 34;373;390;763;48,89;51,11
25;LLEIDA;120;LLEIDA;14 LA BORDETA;35 - 39;515;527;1042;49,42;50,58
25;LLEIDA;120;LLEIDA;14 LA BORDETA;40 - 44;666;636;1302;51,15;48,85
25;LLEIDA;120;LLEIDA;14 LA BORDETA;45 - 49;673;627;1300;51,77;48,23
25;LLEIDA;120;LLEIDA;14 LA BORDETA;50 - 54;562;552;1114;50,45;49,55
25;LLEIDA;120;LLEIDA;14 LA BORDETA;55 - 59;530;445;975;54,36;45,64
25;LLEIDA;120;LLEIDA;14 LA BORDETA;60 - 64;365;393;758;48,15;51,85
25;LLEIDA;120;LLEIDA;14 LA BORDETA;65 - 69;293;320;613;47,8;52,2
25;LLEIDA;120;LLEIDA;14 LA BORDETA;70 - 74;230;231;461;49,89;50,11
25;LLEIDA;120;LLEIDA;14 LA BORDETA;75 - 79;158;202;360;43,89;56,11
25;LLEIDA;120;LLEIDA;14 LA BORDETA;80 - 84;85;157;242;35,12;64,88
25;LLEIDA;120;LLEIDA;14 LA BORDETA;85 - 89;72;123;195;36,92;63,08
25;LLEIDA;120;LLEIDA;14 LA BORDETA;90 - 94;22;55;77;28,57;71,43
25;LLEIDA;120;LLEIDA;14 LA BORDETA;95 - 99;3;13;16;18,75;81,25
25;LLEIDA;120;LLEIDA;14 LA BORDETA;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;14 LA BORDETA;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;14 LA BORDETA;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;14 LA BORDETA;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;14 LA BORDETA;120;0;0;0;0;0
Totals;;;;;;7077;6889;13966;50,67;49,33
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;15 MAGRANERS;0 - 4;83;78;161;51,55;48,45
25;LLEIDA;120;LLEIDA;15 MAGRANERS;5 - 9;66;50;116;56,9;43,1
25;LLEIDA;120;LLEIDA;15 MAGRANERS;10 - 14;93;73;166;56,02;43,98
25;LLEIDA;120;LLEIDA;15 MAGRANERS;15 - 19;84;68;152;55,26;44,74
25;LLEIDA;120;LLEIDA;15 MAGRANERS;20 - 24;88;73;161;54,66;45,34
25;LLEIDA;120;LLEIDA;15 MAGRANERS;25 - 29;115;104;219;52,51;47,49
25;LLEIDA;120;LLEIDA;15 MAGRANERS;30 - 34;119;107;226;52,65;47,35
25;LLEIDA;120;LLEIDA;15 MAGRANERS;35 - 39;116;99;215;53,95;46,05
25;LLEIDA;120;LLEIDA;15 MAGRANERS;40 - 44;109;111;220;49,55;50,45
25;LLEIDA;120;LLEIDA;15 MAGRANERS;45 - 49;107;96;203;52,71;47,29
25;LLEIDA;120;LLEIDA;15 MAGRANERS;50 - 54;117;111;228;51,32;48,68
25;LLEIDA;120;LLEIDA;15 MAGRANERS;55 - 59;79;86;165;47,88;52,12
25;LLEIDA;120;LLEIDA;15 MAGRANERS;60 - 64;84;93;177;47,46;52,54
25;LLEIDA;120;LLEIDA;15 MAGRANERS;65 - 69;60;52;112;53,57;46,43
25;LLEIDA;120;LLEIDA;15 MAGRANERS;70 - 74;51;53;104;49,04;50,96
25;LLEIDA;120;LLEIDA;15 MAGRANERS;75 - 79;37;37;74;50;50
25;LLEIDA;120;LLEIDA;15 MAGRANERS;80 - 84;24;35;59;40,68;59,32
25;LLEIDA;120;LLEIDA;15 MAGRANERS;85 - 89;19;32;51;37,25;62,75
25;LLEIDA;120;LLEIDA;15 MAGRANERS;90 - 94;5;12;17;29,41;70,59
25;LLEIDA;120;LLEIDA;15 MAGRANERS;95 - 99;0;3;3;0;100
25;LLEIDA;120;LLEIDA;15 MAGRANERS;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;15 MAGRANERS;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;15 MAGRANERS;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;15 MAGRANERS;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;15 MAGRANERS;120;0;0;0;0;0
Totals;;;;;;1456;1373;2829;51,47;48,53
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;0 - 4;128;113;241;53,11;46,89
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;5 - 9;128;133;261;49,04;50,96
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;10 - 14;111;115;226;49,12;50,88
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;15 - 19;63;66;129;48,84;51,16
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;20 - 24;62;59;121;51,24;48,76
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;25 - 29;62;82;144;43,06;56,94
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;30 - 34;110;122;232;47,41;52,59
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;35 - 39;189;164;353;53,54;46,46
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;40 - 44;183;205;388;47,16;52,84
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;45 - 49;167;152;319;52,35;47,65
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;50 - 54;127;107;234;54,27;45,73
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;55 - 59;97;98;195;49,74;50,26
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;60 - 64;81;77;158;51,27;48,73
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;65 - 69;58;62;120;48,33;51,67
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;70 - 74;31;48;79;39,24;60,76
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;75 - 79;24;33;57;42,11;57,89
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;80 - 84;7;19;26;26,92;73,08
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;85 - 89;11;12;23;47,83;52,17
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;90 - 94;1;3;4;25;75
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;95 - 99;1;1;2;50;50
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;16 CAPPONT-POLIGON-VILANOV.;120;0;0;0;0;0
Totals;;;;;;1641;1671;3312;49,55;50,45
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;17 BUTSENIT;0 - 4;9;10;19;47,37;52,63
25;LLEIDA;120;LLEIDA;17 BUTSENIT;5 - 9;17;13;30;56,67;43,33
25;LLEIDA;120;LLEIDA;17 BUTSENIT;10 - 14;17;21;38;44,74;55,26
25;LLEIDA;120;LLEIDA;17 BUTSENIT;15 - 19;36;22;58;62,07;37,93
25;LLEIDA;120;LLEIDA;17 BUTSENIT;20 - 24;27;25;52;51,92;48,08
25;LLEIDA;120;LLEIDA;17 BUTSENIT;25 - 29;30;35;65;46,15;53,85
25;LLEIDA;120;LLEIDA;17 BUTSENIT;30 - 34;31;24;55;56,36;43,64
25;LLEIDA;120;LLEIDA;17 BUTSENIT;35 - 39;40;28;68;58,82;41,18
25;LLEIDA;120;LLEIDA;17 BUTSENIT;40 - 44;47;37;84;55,95;44,05
25;LLEIDA;120;LLEIDA;17 BUTSENIT;45 - 49;49;45;94;52,13;47,87
25;LLEIDA;120;LLEIDA;17 BUTSENIT;50 - 54;49;42;91;53,85;46,15
25;LLEIDA;120;LLEIDA;17 BUTSENIT;55 - 59;67;61;128;52,34;47,66
25;LLEIDA;120;LLEIDA;17 BUTSENIT;60 - 64;43;35;78;55,13;44,87
25;LLEIDA;120;LLEIDA;17 BUTSENIT;65 - 69;36;52;88;40,91;59,09
25;LLEIDA;120;LLEIDA;17 BUTSENIT;70 - 74;46;47;93;49,46;50,54
25;LLEIDA;120;LLEIDA;17 BUTSENIT;75 - 79;46;56;102;45,1;54,9
25;LLEIDA;120;LLEIDA;17 BUTSENIT;80 - 84;22;40;62;35,48;64,52
25;LLEIDA;120;LLEIDA;17 BUTSENIT;85 - 89;20;26;46;43,48;56,52
25;LLEIDA;120;LLEIDA;17 BUTSENIT;90 - 94;6;15;21;28,57;71,43
25;LLEIDA;120;LLEIDA;17 BUTSENIT;95 - 99;4;2;6;66,67;33,33
25;LLEIDA;120;LLEIDA;17 BUTSENIT;100 - 104;0;0;0;0;0
25;LLEIDA;120;LLEIDA;17 BUTSENIT;105 - 109;0;0;0;0;0
25;LLEIDA;120;LLEIDA;17 BUTSENIT;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;17 BUTSENIT;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;17 BUTSENIT;120;0;0;0;0;0
Totals;;;;;;642;636;1278;50,23;49,77
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;0 - 4;74;68;142;52,11;47,89
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;5 - 9;93;90;183;50,82;49,18
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;10 - 14;106;116;222;47,75;52,25
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;15 - 19;91;109;200;45,5;54,5
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;20 - 24;101;74;175;57,71;42,29
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;25 - 29;91;78;169;53,85;46,15
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;30 - 34;86;83;169;50,89;49,11
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;35 - 39;85;99;184;46,2;53,8
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;40 - 44;96;106;202;47,52;52,48
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;45 - 49;111;139;250;44,4;55,6
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;50 - 54;130;108;238;54,62;45,38
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;55 - 59;119;145;264;45,08;54,92
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;60 - 64;117;133;250;46,8;53,2
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;65 - 69;99;88;187;52,94;47,06
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;70 - 74;68;75;143;47,55;52,45
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;75 - 79;50;41;91;54,95;45,05
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;80 - 84;26;23;49;53,06;46,94
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;85 - 89;16;30;46;34,78;65,22
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;90 - 94;8;10;18;44,44;55,56
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;95 - 99;2;4;6;33,33;66,67
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;100 - 104;0;2;2;0;100
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;105 - 109;1;0;1;100;0
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;110 - 114;0;0;0;0;0
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;115 - 119;0;0;0;0;0
25;LLEIDA;120;LLEIDA;18 TORRES DE SANUI;120;0;0;0;0;0
Totals;;;;;;1570;1621;3191;49,2;50,8
Codi Província;Província;Codi Municipi;Municipi;Sector Urbà;Edats;Homes;Dones;Total;% Homes;% Dones
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;0 - 4;20;26;46;43,48;56,52
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;5 - 9;37;29;66;56,06;43,94
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;10 - 14;45;43;88;51,14;48,86
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;15 - 19;86;56;142;60,56;39,44
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;20 - 24;65;53;118;55,08;44,92
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;25 - 29;45;40;85;52,94;47,06
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;30 - 34;39;45;84;46,43;53,57
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;35 - 39;39;39;78;50;50
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;40 - 44;64;46;110;58,18;41,82
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;45 - 49;65;64;129;50,39;49,61
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;50 - 54;79;65;144;54,86;45,14
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;55 - 59;87;85;172;50,58;49,42
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;60 - 64;82;74;156;52,56;47,44
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;65 - 69;69;66;135;51,11;48,89
25;LLEIDA;120;LLEIDA;19 BASSES D,ALPICAT;70 - 74;67;52;119;56,3;43,7
